
Firewall Policy
action,application-list,auto-asic-offload,av-profile,capture-packet,comments,diffserv-forward,diffserv-reverse,diffservcode-forward,disclaimer,dnsfilter-profile,dstaddr,dstaddr-negate,dstaddr6,dstintf,emailfilter-profile,fixedport,fsso-groups,global-label,groups,gtp-profile,icap-profile,inspection-mode,internet-service,internet-service-custom,internet-service-custom-group,internet-service-group,internet-service-name,internet-service-negate,network-service-dynamic,internet-service-src,internet-service-src-custom,internet-service-src-custom-group,internet-service-src-group,internet-service-src-name,internet-service-src-negate,network-service-src-dynamic,ippool,ips-sensor,label,logtraffic,logtraffic-start,name,nat,nat46,nat64,per-ip-shaper,policyid,poolname,poolname6,profile-group,profile-protocol-options,profile-type,replacemsg-override-group,schedule,service,service-negate,srcaddr,srcaddr-negate,srcaddr6,srcintf,ssl-ssh-profile,status,tos,tos-mask,traffic-shaper,traffic-shaper-reverse,users,utm-status,uuid,voip-profile,vpntunnel,waf-profile,webfilter-profile,webproxy-forward-server,file-filter-profile,ztna-status,ztna-ems-tag,ztna-geo-tag,videofilter-profile,cgn-session-quota,cgn-resource-quota,cgn-eif,cgn-eim,cgn-log-server-grp,_created timestamp,_last-modified-by,_modified timestamp,_created-by,extra info,scope member,visibility,_label-color,_global-label-color,scope
"accept","","enable","","disable","allow FBE management traffic","disable","disable","","disable","","HST-7.160.3.49","disable","","MANAGEMENT","","","","Remote Management Rules - FBE","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","FBE-MGMT-FW","disable","disable","disable","","115","","","","default","","","always","PING HTTPS SNMP SSH SSH-8022 HTTPS-8443","disable","NET-10.5.38.0/24 NET-7.255.255.0/24","disable","","To-FBE-MGMT","no-inspection","enable","0x00","0x00","","","","disable","56844df0-6891-51f0-b32a-e8ce6a0f2a17","","","","","","","disable","","","","16777215","16","","","","2025-08-01 15:14:20",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 15:14:20",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","default","enable","","disable","","disable","disable","","disable","","all","disable","","port1","","disable","","Internet Access Rules","","","","flow","disable","","","","","","","disable","","","","","","","disable","Block-ALL-Medium-High-Critical","","all","disable","Access-to-Internet-ALL-ANY","enable","disable","disable","","3","","","","default","single","","always","ALL","disable","To-Azure-EU_local_subnet_MEA","disable","","port2","certificate-inspection","enable","0x00","0x00","","","","enable","15deab22-fe40-51ee-04ac-e407300c4c44","","","","","","","disable","","","","16777215","16","","","","2025-08-01 15:14:20",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 15:14:20",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","","","10.5.0.0/16","disable","","port2","","disable","","Client-VPN rules","VPN-MEA","","","flow","disable","","","","","","","disable","","","","","","","disable","","","all","disable","Client-VPN-MEA-to-MEA-ALL","enable","disable","disable","","14","","","","default","single","","always","ALL","disable","VPN_MEA","disable","","sslvpn_tun_intf","no-inspection","enable","0x00","0x00","","","","enable","6d5c39ac-03f2-51ef-b814-7efeb68a8170","","","","","","","disable","","","","16777215","16","","","","2025-08-01 15:14:20",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 15:14:20",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable"," (Copy of Client-VPN-MEA-to-MEA-ALL)","disable","disable","","","","10.5.0.0/16 Azure_RG_EU-WEST-DC_VNET to-AZ-SGP_remote_MEA To-Azure-EU_remote_MEA To-Capelle_remote_MEA To-Hamburg_remote_MEA To-Houston_remote_MEA To-Jakarta_remote_MEA To-Singapore_remote_MEA","disable","","To-Azure-EU To-Capelle To-Hamburg To-Houston To-Jakarta To-Singapore to-AZ-SGP","","disable","","Client-VPN rules","VPN-MEA","","","flow","disable","","","","","","","disable","","","","","","","disable","","","all","disable","Client-VPN-MEA-to-Offices-ALL","enable","disable","disable","","15","","","","default","single","","always","ALL","disable","VPN_MEA","disable","","sslvpn_tun_intf","no-inspection","enable","0x00","0x00","","","","enable","a0dfa8cc-03f2-51ef-4fc6-259f4536e20d","","","","","","","disable","","","","16777215","16","","","","2025-08-01 15:14:20",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 15:14:20",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","","","disable","disable","","disable","","all","disable","","any","","","","","","","","flow","disable","","","","","","","disable","","","","","","","","","","disable","disable","IN CASE OF EMERGENCY","disable","disable","disable","","48","","","","default","single","","always","ALL","disable","all","disable","","any","no-inspection","disable","0x00","0x00","","","","enable","567a0f4c-b6f4-51ef-df00-efe9ab46c11e","","","","","","","disable","","","","16777215","16","","","","2025-08-01 15:14:20",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 15:14:20",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","W2505 065 allow RDP from CAP jumphost to local server","disable","disable","","disable","","vm-filesmeprd01","disable","","port2","","","","CAP-MGMT-IN","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","RDPfromCAPjumphost","disable","disable","disable","","110","","","","default","","","always","RDP","disable","rg-nld-cap-jump01","disable","","To-Capelle","no-inspection","enable","0x00","0x00","","","","disable","2c1db1be-3b96-51f0-6a10-96e46e6de218","","","","","","","disable","","","","16777215","16","","","","2025-08-01 15:14:20",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 15:14:20",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","NET-THA-SAT-Clients","disable","","any","","","","NEW RULES","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","To-THA-SAT-Clients-ALL","disable","disable","disable","","114","","","","default","single","","always","ALL","disable","NET-THA-SAT-OfficeWiFi","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","3a34aabe-6873-51f0-828f-c300172227c6","","","","","","","disable","","","","16777215","16","","","","2025-08-01 15:14:20",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 15:14:20",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","NET-THA-SAT-OfficeWiFi","disable","","any","","","","NEW RULES","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","To-THA-SAT-OfficeWIFI-ALL","disable","disable","disable","","113","","","","default","single","","always","ALL","disable","NET-THA-SAT-Clients THA-SAT-Printer","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","83487484-6872-51f0-9712-91cf551e8b62","","","","","","","disable","","","","16777215","16","","","","2025-08-01 15:14:20",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 15:14:20",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","THA-SAT-Printer","disable","","any","","","","NEW RULES","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","To-THA-SAT-Printer-ALL","disable","disable","disable","","112","","","","default","single","","always","ALL","disable","NET-THA-SAT-OfficeWiFi","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","c7e9c57c-6870-51f0-c40f-50d859c40108","","","","","","","disable","","","","16777215","16","","","","2025-08-01 15:14:20",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 15:14:20",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","172.20.32.250/32","disable","","any","","","","NEW RULES","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","To-172.20.32.250-RDP","disable","disable","disable","","111","","","","default","single","","always","RDP","disable","VPN_SGP","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","cd85a4a2-67c0-51f0-276e-52f895afe67d","","","","","","","disable","","","","16777215","16","","","","2025-08-01 15:14:20",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 15:14:20",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
