
Firewall Policy
action,application-list,auto-asic-offload,av-profile,capture-packet,comments,diffserv-forward,diffserv-reverse,diffservcode-forward,disclaimer,dnsfilter-profile,dstaddr,dstaddr-negate,dstaddr6,dstintf,emailfilter-profile,fixedport,fsso-groups,global-label,groups,gtp-profile,icap-profile,inspection-mode,internet-service,internet-service-custom,internet-service-custom-group,internet-service-group,internet-service-name,internet-service-negate,network-service-dynamic,internet-service-src,internet-service-src-custom,internet-service-src-custom-group,internet-service-src-group,internet-service-src-name,internet-service-src-negate,network-service-src-dynamic,ippool,ips-sensor,label,logtraffic,logtraffic-start,name,nat,nat46,nat64,per-ip-shaper,policyid,poolname,poolname6,profile-group,profile-protocol-options,profile-type,replacemsg-override-group,schedule,service,service-negate,srcaddr,srcaddr-negate,srcaddr6,srcintf,ssl-ssh-profile,status,tos,tos-mask,traffic-shaper,traffic-shaper-reverse,users,utm-status,uuid,voip-profile,vpntunnel,waf-profile,webfilter-profile,webproxy-forward-server,file-filter-profile,ztna-status,ztna-ems-tag,ztna-geo-tag,videofilter-profile,cgn-session-quota,cgn-resource-quota,cgn-eif,cgn-eim,cgn-log-server-grp,_created timestamp,_last-modified-by,_modified timestamp,_created-by,extra info,scope member,visibility,_label-color,_global-label-color,scope
"accept","","enable","","disable","VPN: To-FBE-MGMT (Created by VPN wizard)","disable","disable","","disable","","To-FBE-MGMT_local_AZEU","disable","","port2","","","","Remote Management Rules - FBE","","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","vpn_To-FBE-MGMT_remote_0","disable","disable","disable","","4","","","","default","single","","always","ALL","disable","To-FBE-MGMT_remote_AZEU","disable","","To-FBE-MGMT","no-inspection","enable","0x00","0x00","","","","enable","b5067998-b915-51ee-80a5-fc84cb1b216b","","","","","","","disable","","","","16777215","16","","","","2025-08-01 16:45:14",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 16:45:14",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","allow RDP from FBE to jumphost","disable","disable","","disable","","VIP-RG-AWE-LZ-JMP-01","disable","","port2","","","","","","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","FBE-MGMT-JUMPHOST","disable","disable","disable","","132","","","","default","single","","always","PING RDP","disable","NET-10.5.38.0/24 NET-7.255.255.0/24","disable","","To-FBE-MGMT","no-inspection","enable","0x00","0x00","","","","enable","8ca31d70-6888-51f0-d0c5-9a4c407987cf","","","","","","","disable","","","","16777215","16","","","","2025-08-01 16:45:14",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 16:45:14",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","allow FBE management traffic","disable","disable","","disable","","HST-7.160.3.17","disable","","MANAGEMENT","","","","","","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","FBE-MGMT-FW","disable","disable","disable","","127","","","","default","single","","always","HTTPS HTTPS-8443 PING SNMP SSH SSH-8022","disable","NET-10.5.38.0/24 NET-7.255.255.0/24","disable","","To-FBE-MGMT","no-inspection","enable","0x00","0x00","","","","enable","5b2145fe-30cc-51f0-a059-e01e9d176ddf","","","","","","","disable","","","","16777215","16","","","","2025-08-01 16:45:14",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 16:45:14",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","all","disable","","port2 to-AZ-SGP To-Azure-MEA To-Capelle To-FBE-MGMT To-Hamburg To-Houston To-Singapore To-Jakarta","","","","Local Management Rules","","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","Jumphost01-to-ALL-ANY","disable","disable","disable","","5","","","","default","single","","always","ALL","disable","all","disable","","port2","no-inspection","enable","0x00","0x00","","","","enable","d77d26ec-b916-51ee-8d71-91790ed41c43","","","","","","","disable","","","","16777215","16","","","","2025-08-01 16:45:14",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 16:45:14",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","all","disable","","port1","","disable","","Internet Access Rules","","","","flow","disable","","","","","","","disable","","","","","","","disable","Block-ALL-Medium-High-Critical","","utm","disable","Access-to-Internet-ALL-ANY","enable","disable","disable","","10","","","","default","single","","always","ALL","disable","all","disable","","port2","no-inspection","enable","0x00","0x00","","","","enable","ca1309e8-b918-51ee-1896-206049005e50","","","","","","","disable","","","","16777215","16","","","","2025-08-01 16:45:14",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 16:45:14",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","SSL-VPN-https SSL-VPN-https-HA","disable","","SSL-VPN","","","","Internet Access Rules","","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","utm","disable","Incoming-SSL-VPN","disable","disable","disable","","11","","","","default","single","","always","ALL","disable","all","disable","","port1","no-inspection","enable","0x00","0x00","","","","enable","e8955618-bac2-51ee-fd32-2b8a44bc454d","","","","","","","disable","","","","16777215","16","","","","2025-08-01 16:45:14",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 16:45:14",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable"," (Copy of Incoming-SSL-VPN)","disable","disable","","disable","","EMS-1-443 EMS-1-8013 EMS-2-443 EMS-2-8013","disable","","any","","","","","","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","Incoming-FortiEMS","disable","disable","disable","","12","","","","default","single","","always","ALL","disable","all","disable","","port1","no-inspection","enable","0x00","0x00","","","","enable","20d5dc28-bac3-51ee-25ab-a058c084bda9","","","","","","","disable","","","","16777215","16","","","","2025-08-01 16:45:14",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 16:45:14",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","","","disable","disable","","disable","","all","disable","","any","","","","","","","","flow","disable","","","","","","","disable","","","","","","","","","","disable","disable","IN CASE OF EMERGENCY","disable","disable","disable","","67","","","","default","","","always","ALL","disable","all","disable","","any","no-inspection","disable","0x00","0x00","","","","disable","aa994372-1072-51f0-7b65-9450fd953cd1","","","","","","","disable","","","","16777215","16","","","","2025-08-01 16:45:14",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 16:45:14",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","NET-THA-SAT-Clients","disable","","any","","","","NEW RULES","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","To-THA-SAT-Clients-ALL","disable","disable","disable","","131","","","","default","single","","always","ALL","disable","NET-THA-SAT-OfficeWiFi","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","3571f73e-6873-51f0-7ca8-0c485d82676d","","","","","","","disable","","","","16777215","16","","","","2025-08-01 16:45:14",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 16:45:14",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","NET-THA-SAT-OfficeWiFi","disable","","any","","","","NEW RULES","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","To-THA-SAT-OfficeWIFI-ALL","disable","disable","disable","","130","","","","default","single","","always","ALL","disable","NET-THA-SAT-Clients THA-SAT-Printer","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","7fa86a32-6872-51f0-2613-eaa0eca5d8b4","","","","","","","disable","","","","16777215","16","","","","2025-08-01 16:45:14",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 16:45:14",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
