
Firewall Policy
action,application-list,auto-asic-offload,av-profile,capture-packet,comments,diffserv-forward,diffserv-reverse,diffservcode-forward,disclaimer,dnsfilter-profile,dstaddr,dstaddr-negate,dstaddr6,dstintf,emailfilter-profile,fixedport,fsso-groups,global-label,groups,gtp-profile,icap-profile,inspection-mode,internet-service,internet-service-custom,internet-service-custom-group,internet-service-group,internet-service-name,internet-service-negate,network-service-dynamic,internet-service-src,internet-service-src-custom,internet-service-src-custom-group,internet-service-src-group,internet-service-src-name,internet-service-src-negate,network-service-src-dynamic,ippool,ips-sensor,label,logtraffic,logtraffic-start,name,nat,nat46,nat64,per-ip-shaper,policyid,poolname,poolname6,profile-group,profile-protocol-options,profile-type,replacemsg-override-group,schedule,service,service-negate,srcaddr,srcaddr-negate,srcaddr6,srcintf,ssl-ssh-profile,status,tos,tos-mask,traffic-shaper,traffic-shaper-reverse,users,utm-status,uuid,voip-profile,vpntunnel,waf-profile,webfilter-profile,webproxy-forward-server,file-filter-profile,ztna-status,ztna-ems-tag,ztna-geo-tag,videofilter-profile,cgn-session-quota,cgn-resource-quota,cgn-eif,cgn-eim,cgn-log-server-grp,_created timestamp,_last-modified-by,_modified timestamp,_created-by,extra info,scope member,visibility,_label-color,_global-label-color,scope
"accept","default","enable","","disable","","disable","disable","","disable","","all","disable","","wan1 wan2","","disable","","Internet-Access-Rules","","","","flow","disable","","","","","","","disable","","","","","","","disable","Block-ALL-Medium-High-Critical","","utm","disable","Access-to-Internet-ALL-ANY","enable","disable","disable","","1","","","","default","single","","always","ALL","disable","internal","disable","","internal","no-inspection","enable","0x00","0x00","","","","enable","69e70724-1038-51ee-df2e-71b15c1a8f8b","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","default","enable","","disable","","disable","disable","","disable","","all","disable","","wan1","","disable","","","","","","flow","disable","","","","","","","disable","","","","","","","disable","Block-ALL-Medium-High-Critical","","utm","disable","Internet for Other company","enable","disable","disable","","2","","","","default","single","","always","ALL","disable","all","disable","","internal5","no-inspection","enable","0x00","0x00","","","","enable","a74ddace-1bf1-51ee-4054-38bcfe2ec767","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","","","disable","disable","","disable","","all","disable","","any","","","","","","","","flow","disable","","","","","","","disable","","","","","","","","","","disable","disable","IN CASE OF EMERGENCY","disable","disable","disable","","48","","","","default","","","always","ALL","disable","all","disable","","any","no-inspection","disable","0x00","0x00","","","","disable","03dbc168-1077-51f0-7e2c-ed54e29aa7e3","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","NET-THA-SAT-Clients","disable","","any","","","","NEW RULES","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","To-THA-SAT-Clients-ALL","disable","disable","disable","","110","","","","default","single","","always","ALL","disable","NET-THA-SAT-OfficeWiFi","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","4183f36a-6873-51f0-a9fa-2a2918bf5336","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","NET-THA-SAT-OfficeWiFi","disable","","any","","","","NEW RULES","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","To-THA-SAT-OfficeWIFI-ALL","disable","disable","disable","","109","","","","default","single","","always","ALL","disable","NET-THA-SAT-Clients THA-SAT-Printer","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","9a4cc5d6-6872-51f0-6cf8-6c16d69c48a7","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","THA-SAT-Printer","disable","","any","","","","NEW RULES","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","To-THA-SAT-Printer-ALL","disable","disable","disable","","108","","","","default","single","","always","ALL","disable","NET-THA-SAT-OfficeWiFi","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","20adfc96-6871-51f0-0fb9-c0126898f5bb","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","172.20.32.250/32","disable","","any","","","","NEW RULES","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","To-172.20.32.250-RDP","disable","disable","disable","","107","","","","default","single","","always","RDP","disable","VPN_SGP","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","2ed0884e-67c1-51f0-ab14-a9e8244b50df","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","AZ-SGP-Domain-Controllers","disable","","any","","","","NEW RULES","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","To-AZ-SGP-Domain-Controllers","disable","disable","disable","","105","","","","default","single","","always","Domain Services","disable","VPN_SGP","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","f6b5077e-201b-51f0-0395-ebd595d69c8f","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","RGWINDC01","disable","","any","","","","NEW RULES","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","To-RGWINDC01-Domain-Services","disable","disable","disable","","104","","","","default","single","","always","Domain Services","disable","VPN_MEA VPN_SGP","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","4304c612-2019-51f0-6243-7cf080e7bbc7","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","AZ-MEA-Domain-Controllers","disable","","any","","","","NEW RULES","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","To-AZ-MEA-DC-Domain-Services","disable","disable","disable","","103","","","","default","single","","always","Domain Services","disable","VPN_MEA","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","5a3e2d1a-2018-51f0-ddfb-a477475da7b6","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","Azure-old-jumphosts","disable","","any","","","","NEW RULES","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","Access-to-Azure-old-jumphosts-RDP","disable","disable","disable","","102","","","","default","single","","always","RDP","disable","Capelle_LAN","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","b0488998-2014-51f0-4635-a32f8df61a9f","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:42:56",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
