
Firewall Policy
action,application-list,auto-asic-offload,av-profile,capture-packet,comments,diffserv-forward,diffserv-reverse,diffservcode-forward,disclaimer,dnsfilter-profile,dstaddr,dstaddr-negate,dstaddr6,dstintf,emailfilter-profile,fixedport,fsso-groups,global-label,groups,gtp-profile,icap-profile,inspection-mode,internet-service,internet-service-custom,internet-service-custom-group,internet-service-group,internet-service-name,internet-service-negate,network-service-dynamic,internet-service-src,internet-service-src-custom,internet-service-src-custom-group,internet-service-src-group,internet-service-src-name,internet-service-src-negate,network-service-src-dynamic,ippool,ips-sensor,label,logtraffic,logtraffic-start,name,nat,nat46,nat64,per-ip-shaper,policyid,poolname,poolname6,profile-group,profile-protocol-options,profile-type,replacemsg-override-group,schedule,service,service-negate,srcaddr,srcaddr-negate,srcaddr6,srcintf,ssl-ssh-profile,status,tos,tos-mask,traffic-shaper,traffic-shaper-reverse,users,utm-status,uuid,voip-profile,vpntunnel,waf-profile,webfilter-profile,webproxy-forward-server,file-filter-profile,ztna-status,ztna-ems-tag,ztna-geo-tag,videofilter-profile,cgn-session-quota,cgn-resource-quota,cgn-eif,cgn-eim,cgn-log-server-grp,_created timestamp,_last-modified-by,_modified timestamp,_created-by,extra info,scope member,visibility,_label-color,_global-label-color,scope
"accept","","enable","","disable","","disable","disable","","disable","","all","disable","","wan1 wan2","","disable","","INTERNET ACCESS","","","","flow","disable","","","","","","","disable","","","","","","","disable","","","all","disable","Internet-Access-Security-MDR-ANY","enable","disable","disable","","110","","","","default","single","","always","ALL","disable","VLAN210: Security - MDR","disable","","VLAN210","no-inspection","enable","0x00","0x00","","","","enable","1d800cb8-04cf-51f0-1dc3-35f5c1af442c","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","all","disable","","wan2 wan1","","disable","","INTERNET ACCESS","","","","flow","disable","","","","","","","disable","","","","","","","disable","Block-ALL-Medium-High-Critical","","utm","disable","ANY-to-INTERNET-ALL","enable","disable","disable","","10","","","","default","single","","always","ALL","disable","all","disable","","_default.VLAN1 VLAN10 VLAN11 VLAN30 VLAN100 VLAN101 VLAN200 VLAN201 VLAN202 VLAN203 VLAN204 VLAN211","no-inspection","enable","0x00","0x00","","","","enable","cf0d8d10-57c5-51ee-1f8e-e4663d1834ec","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","Google-DNS","disable","","wan1 wan2","","disable","","INTERNET ACCESS","","","","flow","disable","","","","","","","disable","","","","","","","disable","Block-ALL-Medium-High-Critical","","utm","disable","Access-to-externalDNS-DNS","enable","disable","disable","","20","","","","default","single","","always","DNS","disable","all","disable","","_default.VLAN1 VLAN10 VLAN11 VLAN30 VLAN100 VLAN101 VLAN200 VLAN201 VLAN202 VLAN203 VLAN204 VLAN211","no-inspection","enable","0x00","0x00","","","","enable","a59ab33c-9e50-51ee-a380-7da0703e3512","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","NAT-OPENVPN","disable","","VLAN30","","","","OUTSIDE","","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","INTERNET-ANY-to-172.20.50.100","disable","disable","disable","","4","","","","default","single","","always","ALL","disable","all","disable","","wan1","no-inspection","enable","0x00","0x00","","","","enable","94123000-57c3-51ee-97ba-1f8852b58dc6","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","","","all","disable","","To-AZ-EU To-AZ-MEA to-AZ-SGP To-Azure-EU To-Hamburg To-Houston To-Singapore","","","","Client-VPN Access","VPN-NL","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","Client-VPN-Access-to-Offices-ALL","disable","disable","disable","","144","","","","default","single","","always","ALL","disable","CAP-Client-VPN","disable","","sslvpn_tun_intf","no-inspection","enable","0x00","0x00","","","","enable","beadc46a-660c-51f0-89ff-ab80baf61113","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","RGAZEUDC01","disable","","To-Azure-EU","","","","","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","ALL-to-Legacy-Azure","disable","disable","disable","","145","","","","default","","","always","ALL","disable","all","disable","","To-AZ-EU To-AZ-MEA to-AZ-SGP","no-inspection","enable","0x00","0x00","","","","disable","7f681428-661a-51f0-1936-9daf39e78ab3","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","","","Capelle_ServerLAN","disable","","VLAN11","","","","Client-VPN Access","VPN-NL","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","CAP-Client-VPN-to-Capelle-ANY","disable","disable","disable","","30","","","","default","single","","always","ALL","disable","CAP-Client-VPN","disable","","sslvpn_tun_intf","no-inspection","enable","0x00","0x00","","","","enable","0677eb2c-bad8-51ee-b261-3bd70daf1be6","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable"," (Copy of CAP-Client-VPN-to-Capelle-ANY)","disable","disable","","","","Capelle_ServerLAN","disable","","VLAN11","","","","","VPN-NL-Autologon","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","Autologon","disable","disable","disable","","36","","","","default","single","","always","ALL","disable","CAP-Client-VPN","disable","","sslvpn_tun_intf","no-inspection","enable","0x00","0x00","","","","enable","ac261d60-ff51-51ee-ac9a-440e2b8d45b8","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","","","To-AZ-MEA_remote_CAP","disable","","To-AZ-MEA","","","","","VPN-NL","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","CAP-Client-VPN-to-MEA-ANY","disable","disable","disable","","43","","","","default","single","","always","ALL","disable","CAP-Client-VPN","disable","","sslvpn_tun_intf","no-inspection","enable","0x00","0x00","","","","enable","f09742ac-3adf-51ef-554d-2d36b6f72b97","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","","","Houston_OFFICE","disable","","To-Houston","","","","","VPN-NL","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","CAP-Client-VPN-to-HOUSTON-ANY","disable","disable","disable","","44","","","","default","single","","always","ALL","disable","CAP-Client-VPN","disable","","sslvpn_tun_intf","no-inspection","enable","0x00","0x00","","","","enable","b6cfa13a-3ae0-51ef-bad0-c7a236e6e31b","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable"," (Copy of CAP-Client-VPN-to-Capelle-ANY)","disable","disable","","disable","","Capelle_ServerLAN","disable","","VLAN11","","","","","","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","SGP-Client-VPN-to-Capelle-ANY","disable","disable","disable","","31","","","","default","single","","always","ALL","disable","SGP-Client-VPN","disable","","To-Singapore","no-inspection","enable","0x00","0x00","","","","enable","6850b858-c40e-51ee-de45-5daf7cfdd030","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable"," (Copy of CAP-Client-VPN-to-Capelle-ANY) (Copy of SGP-Client-VPN-to-Capelle-ANY)","disable","disable","","disable","","Capelle_ServerLAN","disable","","VLAN11","","","","","","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","HOU-Client-VPN-to-Capelle-ANY","disable","disable","disable","","32","","","","default","single","","always","ALL","disable","HOU-Client-VPN","disable","","To-Houston","no-inspection","enable","0x00","0x00","","","","enable","2b85b074-c411-51ee-6363-8fa633c14f6f","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","I2505 006","disable","disable","","disable","","RGUSASRV1","disable","","any","","","","Sync-to-new-rules","","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","Access-to-RGUSASRV1-SMB","disable","disable","disable","","134","","","","default","single","","always","SMB","disable","172.20.1.11","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","cb9f72d0-272e-51f0-2ee0-f9ce1da750c8","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","I2505 006 (Copy of Access-to-RGUSASRV1-SMB)","disable","disable","","disable","","rgstarsuitedev1 rgstarsuiteprd","disable","","any","","","","","","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","Access-to-RGstarsuite-SSH","disable","disable","disable","","136","","","","default","single","","always","SSH","disable","RGAZVD-0","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","8e85ed8e-37cd-51f0-5d92-c8ba9c9b3145","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","I2505 427","disable","disable","","disable","","Azure-old-jumphosts","disable","","any","","","","","","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","Access-to-RGAZVD-RDP","disable","disable","disable","","139","","","","default","single","","always","RDP","disable","172.20.1.11","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","bf9c85be-42da-51f0-b03d-b646a4caad20","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","I2505 427 (Copy of Access-to-RGAZVD-0-RDP)","disable","disable","","disable","","RGRDS03","disable","","any","","","","","","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","Access-to-RGRDS03-RDP","disable","disable","disable","","140","","","","default","single","","always","RDP","disable","Azure-old-jumphosts","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","51c98a54-42db-51f0-f772-8298cef63186","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","RG-CAP-Printer Commercial RG-CAP-Printer Fleet RG-CAP-Printer Operations","disable","","any","","","","","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","Access-to-RGPrintserver","disable","disable","disable","","135","","","","default","","","always","HTTP HTTPS TCP50003 TCP9100","disable","RGPRINT01 RGPRINT02-NEW","disable","","any","no-inspection","enable","0x00","0x00","","","","disable","95b8c73c-2be5-51f0-3008-601072ac3fe3","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","I2507 099","disable","disable","","disable","","RG-CAP-Printer Commercial RG-CAP-Printer Fleet RG-CAP-Printer HP-HR RG-CAP-Printer Legal RG-CAP-Printer Operations RG-CAP-Printer Receptie","disable","","any","","","","","","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","Access-to-RGPrinters-HTTPS","disable","disable","disable","","143","","","","default","single","","always","HTTP HTTPS","disable","Hostmonitor HST-172.20.1.11 RGADMIN01-MGMT","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","cd5f01e2-5e21-51f0-5c2a-ed8256d76a3c","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","W2506 011","disable","disable","","disable","","RGCALCSERVER02","disable","","VLAN11","","","","","","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","Access-to-RGCALCSERVER02-TCP1947","disable","disable","disable","","138","","","","default","single","","always","TCP1947","disable","VPN_MEA VPN_SGP","disable","","To-AZ-MEA to-AZ-SGP","no-inspection","enable","0x00","0x00","","","","enable","d3abf690-4148-51f0-a2c3-2e09d0f2aa0b","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:08:59",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:09:00",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","fbemgmt-to-rg-nld-cap-jump01 fbemgmt-to-rg-nld-cap-zbxprx01","disable","","any","","","","Flowerbed Management","","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","Accces-to-Flowerbed-Management-ALL","disable","disable","disable","","113","","","","default","single","","always","ALL","disable","Flowerbed Management","disable","","to-fbe-mgmt-old","no-inspection","enable","0x00","0x00","","","","enable","57e63024-0585-51f0-8843-444aa3c922a1","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:09:00",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:09:00",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","rg-nld-cap-zpx-01","disable","","any","","","","","","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","Access-to-rg-nld-cap-zbxprx01-SSH","disable","disable","disable","","115","","","","default","single","","always","SSH","disable","rg-nld-cap-jmp-01","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","969c0180-058b-51f0-af65-36da81bc22c0","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:09:00",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:09:00",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","Flowerbed Management NET-7.160.3.0_24","disable","","to-fbe-mgmt-old to-fbe-mgmt","","disable","","","","","","flow","disable","","","","","","","disable","","","","","","","enable","Block-ALL-Medium-High-Critical","","all","disable","Access-to-Flowerbed-Zabbix","enable","disable","disable","","119","nat-as-zbxprx01","","","default","single","","always","ALL","disable","rg-nld-cap-zpx-01","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","aaf564f0-05a4-51f0-5696-45a2628c72eb","","","","","","","disable","","","","16777215","16","","","","2025-08-13 15:09:00",bh-jpij01@ROLL-GROUP.COM,"2025-08-13 15:09:00",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
