
Firewall Policy
action,application-list,auto-asic-offload,av-profile,capture-packet,comments,diffserv-forward,diffserv-reverse,diffservcode-forward,disclaimer,dnsfilter-profile,dstaddr,dstaddr-negate,dstaddr6,dstintf,emailfilter-profile,fixedport,fsso-groups,global-label,groups,gtp-profile,icap-profile,inspection-mode,internet-service,internet-service-custom,internet-service-custom-group,internet-service-group,internet-service-name,internet-service-negate,network-service-dynamic,internet-service-src,internet-service-src-custom,internet-service-src-custom-group,internet-service-src-group,internet-service-src-name,internet-service-src-negate,network-service-src-dynamic,ippool,ips-sensor,label,logtraffic,logtraffic-start,name,nat,nat46,nat64,per-ip-shaper,policyid,poolname,poolname6,profile-group,profile-protocol-options,profile-type,replacemsg-override-group,schedule,service,service-negate,srcaddr,srcaddr-negate,srcaddr6,srcintf,ssl-ssh-profile,status,tos,tos-mask,traffic-shaper,traffic-shaper-reverse,users,utm-status,uuid,voip-profile,vpntunnel,waf-profile,webfilter-profile,webproxy-forward-server,file-filter-profile,ztna-status,ztna-ems-tag,ztna-geo-tag,videofilter-profile,cgn-session-quota,cgn-resource-quota,cgn-eif,cgn-eim,cgn-log-server-grp,_created timestamp,_last-modified-by,_modified timestamp,_created-by,extra info,scope member,visibility,_label-color,_global-label-color,scope
"accept","RG-Monitor-ALL","enable","","","","disable","disable","","disable","","all","disable","","wan1","","disable","","Internet-Access","","","","flow","disable","","","","","","","disable","","","","","","","disable","Block-ALL-Medium-High-Critical","","disable","disable","Internet-Access-ANY-to-ANY-ALL","enable","disable","disable","","1","","","","default","single","","always","ALL","disable","all","disable","","any","RG-Inspection","enable","0x00","0x00","","","","enable","6ba60200-5ed4-51ee-2e94-5552e42c46f4","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:44:45",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:44:45",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"deny","","","","","","disable","disable","","","","all","disable","","VLAN2 To-AZ-EU To-AZ-MEA To-Capelle To-Houston To-Jakarta VLAN10 VLAN17 VLAN100","","","","Inside Access","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","Access-to-Inside-Block","","disable","disable","","53","","","","","","","always","ALL","disable","VLAN16: Rollgroup Public","disable","","VLAN16","","enable","0x00","0x00","","","","","56b6ff44-adab-51ef-b044-610d1ec02b62","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:44:45",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:44:45",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"deny","","","","","","disable","disable","","","","OPEN-VPN","disable","","VLAN2","","","","Outside-Access","","","","flow","disable","","","","","","","disable","","","","","","","","","","disable","disable","Outside-Access-Any-to-OPENVPN","","disable","disable","","3","","","","","","","always","ALL","disable","all","disable","","wan1","","enable","0x00","0x00","","","","","c48211ca-5ed4-51ee-9af7-20960a7e54d6","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:44:45",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:44:45",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","RG-Monitor-ALL","enable","","disable","","disable","disable","","","","Capelle_ServerLAN","disable","","To-Capelle","","","","Client-VPN Access","vpn-sg","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","SGP-Client-VPN-to-Capelle-ALL","disable","disable","disable","","12","","","","default","single","","always","ALL","disable","SGP-Client-VPN","disable","","sslvpn_tun_intf","RG-Inspection","enable","0x00","0x00","","","","enable","bed75afe-bb05-51ee-fbff-cae6e02578e3","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:44:45",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:44:45",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","RG-Monitor-ALL","enable","","disable","","disable","disable","","","","To-AZ-MEA_remote_SGP","disable","","To-AZ-MEA","","","","","vpn-sg","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","SGP-Client-VPN-to-MEA-ALL","disable","disable","disable","","19","","","","default","single","","always","ALL","disable","SGP-Client-VPN","disable","","sslvpn_tun_intf","RG-Inspection","enable","0x00","0x00","","","","enable","5d45d95c-3ad8-51ef-82f2-080bfd784d0e","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:44:45",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:44:45",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","RG-Monitor-ALL","enable","","disable","","disable","disable","","","","To-Houston_remote_SGP","disable","","To-Houston","","","","","vpn-sg","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","SGP-Client-VPN-to-HOUSTON-ALL","disable","disable","disable","","20","","","","default","single","","always","ALL","disable","SGP-Client-VPN","disable","","sslvpn_tun_intf","RG-Inspection","enable","0x00","0x00","","","","enable","38bb9e50-3add-51ef-10c5-3f3f8ebcff6a","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:44:45",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:44:45",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","RG-Monitor-ALL","enable","","disable","","disable","disable","","","","Singapore_LAN NET-CLT-LAN NET-MGT-LAN","disable","","VLAN100 VLAN2 VLAN10","","","","","vpn-sg","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","SGP-Client-VPN-to-Singapore-ALL","disable","disable","disable","","13","","","","default","single","","always","ALL","disable","SGP-Client-VPN","disable","","sslvpn_tun_intf","RG-Inspection","enable","0x00","0x00","","","","enable","a64c521c-c403-51ee-cff2-dfc8b7c9ffbf","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:44:45",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:44:45",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","RG-Monitor-ALL","enable","","disable"," (Copy of SGP-Client-VPN-to-Singapore-ALL)","disable","disable","","","","to-AZ-SGP_remote_subnet_1_SGP","disable","","VLAN100 VLAN2 VLAN10","","","","","vpn-sg","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","SGP-Client-VPN-to-AZ-SGP-ALL","disable","disable","disable","","62","","","","default","single","","always","ALL","disable","SGP-Client-VPN","disable","","sslvpn_tun_intf","RG-Inspection","enable","0x00","0x00","","","","enable","0b4c0f4a-b23d-51ef-547e-4a76dc2ff57e","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:44:45",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:44:45",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","NET-THA-SAT-Clients","disable","","any","","","","NEW RULES","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","To-THA-SAT-Clients-ALL","disable","disable","disable","","149","","","","default","single","","always","ALL","disable","NET-THA-SAT-OfficeWiFi","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","449a9770-6873-51f0-dfc7-a6ba0d215afe","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:44:45",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:44:45",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","NET-THA-SAT-OfficeWiFi","disable","","any","","","","NEW RULES","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","To-THA-SAT-OfficeWIFI-ALL","disable","disable","disable","","148","","","","default","single","","always","ALL","disable","NET-THA-SAT-Clients THA-SAT-Printer","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","9da94ad8-6872-51f0-367d-39b0a76d1fa7","","","","","","","disable","","","","16777215","16","","","","2025-08-01 14:44:45",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 14:44:45",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
