
Firewall Policy
action,application-list,auto-asic-offload,av-profile,capture-packet,comments,diffserv-forward,diffserv-reverse,diffservcode-forward,disclaimer,dnsfilter-profile,dstaddr,dstaddr-negate,dstaddr6,dstintf,emailfilter-profile,fixedport,fsso-groups,global-label,groups,gtp-profile,icap-profile,inspection-mode,internet-service,internet-service-custom,internet-service-custom-group,internet-service-group,internet-service-name,internet-service-negate,network-service-dynamic,internet-service-src,internet-service-src-custom,internet-service-src-custom-group,internet-service-src-group,internet-service-src-name,internet-service-src-negate,network-service-src-dynamic,ippool,ips-sensor,label,logtraffic,logtraffic-start,name,nat,nat46,nat64,per-ip-shaper,policyid,poolname,poolname6,profile-group,profile-protocol-options,profile-type,replacemsg-override-group,schedule,service,service-negate,srcaddr,srcaddr-negate,srcaddr6,srcintf,ssl-ssh-profile,status,tos,tos-mask,traffic-shaper,traffic-shaper-reverse,users,utm-status,uuid,voip-profile,vpntunnel,waf-profile,webfilter-profile,webproxy-forward-server,file-filter-profile,ztna-status,ztna-ems-tag,ztna-geo-tag,videofilter-profile,cgn-session-quota,cgn-resource-quota,cgn-eif,cgn-eim,cgn-log-server-grp,_created timestamp,_last-modified-by,_modified timestamp,_created-by,extra info,scope member,visibility,_label-color,_global-label-color,scope
"accept","","enable","","disable","allow all incoming traffic from internet SIP provider","disable","disable","","disable","","VIP-VOIP","disable","","VLAN13","","","","VOIP","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","MITEL-VOIP-IN","disable","disable","disable","","119","","","","default","single","","always","ALL","disable","FQDN-rolllift.auravoice.us","disable","","wan1","no-inspection","enable","0x00","0x00","","","","enable","cd457788-6ee6-51f0-fde3-b533149d04eb","","","","","","","disable","","","","16777215","16","","","","2025-08-01 16:50:01",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 16:50:01",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","allow all outgoing traffic from Mitel PBX to provider","disable","disable","","disable","","FQDN-rolllift.auravoice.us","disable","","wan1","","disable","","","","","","flow","disable","","","","","","","disable","","","","","","","enable","","","all","disable","MITEL-VOIP-OUT","enable","disable","disable","","120","IPPOOL-12.175.59.4","","","default","single","","always","ALL","disable","HST-VOIP-PBX","disable","","VLAN13","no-inspection","enable","0x00","0x00","","","","enable","cd47c74a-6ee6-51f0-6073-79bd4c4b7ede","","","","","","","disable","","","","16777215","16","","","","2025-08-01 16:50:01",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 16:50:01",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","RG-Monitor-ALL","enable","","disable","allow incoming SIP traffic from internet","disable","disable","","disable","","VoIP-PBX-SIP","disable","","VLAN13","","","","Internet","","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","INTERNET-PBX-SIP-TRUNK-IN","disable","disable","disable","","14","","","","default","single","","always","ALL","disable","Auravax","disable","","wan1","RG-Inspection","disable","0x00","0x00","","","","enable","cd4a4a06-6ee6-51f0-d51b-b1599333ace6","","","","","","","disable","","","","16777215","16","","","","2025-08-01 16:50:01",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 16:50:01",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","all","disable","","wan1","","disable","","Internet","","","","flow","disable","","","","","","","disable","","","","","","","disable","","","all","disable","Access-to-INTERNET-ALL","enable","disable","disable","","105","","","","default","single","","always","ALL","disable","Arctic-Wolf-Scanners Arctic-Wolf-Sensors","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","cd4bd09c-6ee6-51f0-c286-449287a25352","","","","","","","disable","","","","16777215","16","","","","2025-08-01 16:50:01",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 16:50:01",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","RG-Monitor-ALL","enable","","disable","","disable","disable","","disable","","all","disable","","wan1","","disable","","Internet Access","","","","flow","disable","","","","","","","disable","","","","","","","disable","Block-ALL-Medium-High-Critical","","all","disable","Internet-Access-ALL-ANY","enable","disable","disable","","5","","","","default","single","","always","ALL","disable","all","disable","","any","RG-Inspection","enable","0x00","0x00","","","","enable","cd4d5aa2-6ee6-51f0-fe1f-9bb3b10ce9d0","","","","","","","disable","","","","16777215","16","","","","2025-08-01 16:50:01",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 16:50:01",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","RG-Monitor-ALL","enable","","disable","","disable","disable","","","","NET-CLT-LAN NET-MGT-LAN VLAN201: Office WIFI LAN VLAN10: SRV LAN","disable","","VLAN10 VLAN11 VLAN100 VLAN201 VLAN204","","","","Client-VPN Access","vpn-usa","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","HOU-Client-VPN-to-Houston-ANY","disable","disable","disable","","19","","","","default","single","","always","ALL","disable","HOU-Client-VPN","disable","","sslvpn_tun_intf","RG-Inspection","enable","0x00","0x00","","","","enable","cd4f5fb4-6ee6-51f0-75f9-b7284b5b0b0a","","","","","","","disable","","","","16777215","16","","","","2025-08-01 16:50:01",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 16:50:01",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","RG-Monitor-ALL","enable","","disable"," (Copy of HOU-Client-VPN-to-Houston-ANY)","disable","disable","","","","Capelle_LAN_SVR","disable","","To-Capelle","","","","","vpn-usa","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","HOU-Client-VPN-to-Capelle-ANY","disable","disable","disable","","20","","","","default","single","","always","ALL","disable","HOU-Client-VPN","disable","","sslvpn_tun_intf","RG-Inspection","enable","0x00","0x00","","","","enable","cd512be6-6ee6-51f0-c330-b85128535a9d","","","","","","","disable","","","","16777215","16","","","","2025-08-01 16:50:01",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 16:50:01",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","I2505 006","disable","disable","","disable","","RGUSASRV1","disable","","any","","","","Sync-to-new-rules","","","","flow","disable","","","","","","","disable","","","","","","","","","","all","disable","Access-to-HST-Fileserver-SMB","disable","disable","disable","","116","","","","default","single","","always","SMB","disable","172.20.1.11","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","cd52c654-6ee6-51f0-a068-5dcee577b054","","","","","","","disable","","","","16777215","16","","","","2025-08-01 16:50:01",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 16:50:01",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","","","disable","disable","","disable","","all","disable","","any","","","","","","","","flow","disable","","","","","","","disable","","","","","","","","","","disable","disable","IN CASE OF EMERGENCY","disable","disable","disable","","138","","","","default","","","always","ALL","disable","all","disable","","any","no-inspection","disable","0x00","0x00","","","","disable","cd5434d0-6ee6-51f0-0b1d-c122f0cd4744","","","","","","","disable","","","","16777215","16","","","","2025-08-01 16:50:01",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 16:50:01",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
"accept","","enable","","disable","","disable","disable","","disable","","NET-USA-HST-OfficeWiFi","disable","","any","","","","","","","","flow","disable","","","","","","","disable","","","","","","","","Block-ALL-Medium-High-Critical","","all","disable","Access-to-officewifi-PRINT","disable","disable","disable","","106","","","","default","single","","always","ALL","disable","NET-USA-HST-Clients RGUSADC1","disable","","any","no-inspection","enable","0x00","0x00","","","","enable","cd55ab6c-6ee6-51f0-4a85-a5bc35ed5485","","","","","","","disable","","","","16777215","16","","","","2025-08-01 16:50:01",bh-jpij01@ROLL-GROUP.COM,"2025-08-01 16:50:01",bh-jpij01@ROLL-GROUP.COM,"","","","","","[All Devices/Groups]"
