action,application-list,auto-asic-offload,av-profile,capture-packet,comments,diffserv-forward,diffserv-reverse,diffservcode-forward,disclaimer,dnsfilter-profile,dstaddr,dstaddr-negate,dstaddr6,dstintf,emailfilter-profile,fixedport,fsso-groups,global-label,groups,gtp-profile,icap-profile,inspection-mode,internet-service,internet-service-custom,internet-service-custom-group,internet-service-group,internet-service-name,internet-service-negate,network-service-dynamic,internet-service-src,internet-service-src-custom,internet-service-src-custom-group,internet-service-src-group,internet-service-src-name,internet-service-src-negate,network-service-src-dynamic,ippool,ips-sensor,label,logtraffic,logtraffic-start,name,nat,nat46,nat64,per-ip-shaper,policyid,poolname,poolname6,profile-group,profile-protocol-options,profile-type,replacemsg-override-group,schedule,service,service-negate,srcaddr,srcaddr-negate,srcaddr6,srcintf,ssl-ssh-profile,status,tos,tos-mask,traffic-shaper,traffic-shaper-reverse,users,utm-status,uuid,voip-profile,vpntunnel,waf-profile,webfilter-profile,webproxy-forward-server,file-filter-profile,ztna-status,ztna-ems-tag,ztna-geo-tag,videofilter-profile,cgn-session-quota,cgn-resource-quota,cgn-eif,cgn-eim,cgn-log-server-grp,_created timestamp,_last-modified-by,_modified timestamp,_created-by,extra info,scope member,visibility,_label-color,_global-label-color,scope
accept,,enable,,disable,allow FBE management traffic,disable,disable,,disable,,HST-7.160.3.33,disable,,MANAGEMENT,,,,Remote Management Rules - FBE,,,,flow,disable,,,,,,,disable,,,,,,,,,,all,disable,FBE-MGMT-FW,disable,disable,disable,,138,,,,default,,,always,PING HTTPS SNMP SSH SSH-8022 HTTPS-8443,disable,NET-10.5.38.0/24 NET-7.255.255.0/24,disable,,To-FBE-MGMT,no-inspection,enable,0x00,0x00,,,,disable,fdfaa836-6891-51f0-7976-2bf461c906db,,,,,,,disable,,,,16777215,16,,,,2025-08-01 16:25:40,bh-jpij01@ROLL-GROUP.COM,2025-08-01 16:25:40,bh-jpij01@ROLL-GROUP.COM,,,,,,[All Devices/Groups]
accept,,enable,,disable,,disable,disable,,disable,,all,disable,,port1,,disable,,Internet Access Rules,,,,flow,disable,,,,,,,disable,,,,,,,disable,Block-ALL-Medium-High-Critical,,all,disable,Access-to-Internet-ALL-ANY,enable,disable,disable,,28,,,,default,single,,always,ALL,disable,all,disable,,port2,no-inspection,enable,0x00,0x00,,,,enable,83a270ec-b18e-51ef-6e4f-033f938e036e,,,,,,,disable,,,,16777215,16,,,,2025-08-01 16:25:40,bh-jpij01@ROLL-GROUP.COM,2025-08-01 16:25:40,bh-jpij01@ROLL-GROUP.COM,,,,,,[All Devices/Groups]
accept,,enable,,disable,,disable,disable,,,,to-Singapore_local_subnet_1_APAC,disable,,port2,,disable,,Client-VPN Rules,VPN-ALL,,,flow,disable,,,,,,,disable,,,,,,,disable,,,all,disable,Client-VPN-SGP-to-ALL-ANY,enable,disable,disable,,40,,,,default,,,always,ALL,disable,VPN_SGP,disable,,sslvpn_tun_intf,no-inspection,enable,0x00,0x00,,,,disable,ecd5d67c-b642-51ef-637c-559b0989a2df,,,,,,,disable,,,,16777215,16,,,,2025-08-01 16:25:40,bh-jpij01@ROLL-GROUP.COM,2025-08-01 16:25:40,bh-jpij01@ROLL-GROUP.COM,,,,,,[All Devices/Groups]
accept,,enable,,disable, (Copy of Client-VPN-SGP-to-ALL-ANY),disable,disable,,,,all,disable,,to-AZ-EU to-AZ-MEA to-Capelle to-Houston to-Singapore,,,,,VPN-ALL,,,flow,disable,,,,,,,disable,,,,,,,,,,all,disable,Client-VPN-Access-to-Offices-ALL,disable,disable,disable,,41,,,,default,,,always,ALL,disable,VPN_SGP,disable,,sslvpn_tun_intf,no-inspection,enable,0x00,0x00,,,,disable,77279ec8-b643-51ef-8ff4-aa9d32f87d10,,,,,,,disable,,,,16777215,16,,,,2025-08-01 16:25:40,bh-jpij01@ROLL-GROUP.COM,2025-08-01 16:25:40,bh-jpij01@ROLL-GROUP.COM,,,,,,[All Devices/Groups]
accept,,enable,,disable,W2505 065 allow RDP from CAP jumphost to local server,disable,disable,,disable,,vm-filessgprd01,disable,,port2,,,,CAP-MGMT-IN,,,,flow,disable,,,,,,,disable,,,,,,,,,,all,disable,RDPfromCAPjumphost,disable,disable,disable,,133,,,,default,,,always,RDP,disable,rg-nld-cap-jump01,disable,,to-Capelle,no-inspection,enable,0x00,0x00,,,,disable,9a6ee210-3b95-51f0-60f0-54256468a5cc,,,,,,,disable,,,,16777215,16,,,,2025-08-01 16:25:40,bh-jpij01@ROLL-GROUP.COM,2025-08-01 16:25:40,bh-jpij01@ROLL-GROUP.COM,,,,,,[All Devices/Groups]
accept,,enable,,disable,,disable,disable,,disable,,NET-THA-SAT-Clients,disable,,any,,,,NEW RULES,,,,flow,disable,,,,,,,disable,,,,,,,,,,all,disable,To-THA-SAT-Clients-ALL,disable,disable,disable,,137,,,,default,single,,always,ALL,disable,NET-THA-SAT-OfficeWiFi,disable,,any,no-inspection,enable,0x00,0x00,,,,enable,3e09266a-6873-51f0-8c00-f416f3977447,,,,,,,disable,,,,16777215,16,,,,2025-08-01 16:25:40,bh-jpij01@ROLL-GROUP.COM,2025-08-01 16:25:40,bh-jpij01@ROLL-GROUP.COM,,,,,,[All Devices/Groups]
accept,,enable,,disable,,disable,disable,,disable,,NET-THA-SAT-OfficeWiFi,disable,,any,,,,NEW RULES,,,,flow,disable,,,,,,,disable,,,,,,,,,,all,disable,To-THA-SAT-OfficeWIFI-ALL,disable,disable,disable,,136,,,,default,single,,always,ALL,disable,NET-THA-SAT-Clients THA-SAT-Printer,disable,,any,no-inspection,enable,0x00,0x00,,,,enable,871200da-6872-51f0-25a7-71868436fadd,,,,,,,disable,,,,16777215,16,,,,2025-08-01 16:25:40,bh-jpij01@ROLL-GROUP.COM,2025-08-01 16:25:40,bh-jpij01@ROLL-GROUP.COM,,,,,,[All Devices/Groups]
accept,,enable,,disable,,disable,disable,,disable,,THA-SAT-Printer,disable,,any,,,,NEW RULES,,,,flow,disable,,,,,,,disable,,,,,,,,,,all,disable,To-THA-SAT-Printer-ALL,disable,disable,disable,,135,,,,default,single,,always,ALL,disable,NET-THA-SAT-OfficeWiFi,disable,,any,no-inspection,enable,0x00,0x00,,,,enable,ea3a7bd0-6870-51f0-2485-b156e624b839,,,,,,,disable,,,,16777215,16,,,,2025-08-01 16:25:40,bh-jpij01@ROLL-GROUP.COM,2025-08-01 16:25:40,bh-jpij01@ROLL-GROUP.COM,,,,,,[All Devices/Groups]
accept,,enable,,disable,,disable,disable,,disable,,172.20.32.250/32,disable,,any,,,,NEW RULES,,,,flow,disable,,,,,,,disable,,,,,,,,,,all,disable,To-172.20.32.250-RDP,disable,disable,disable,,134,,,,default,single,,always,RDP,disable,VPN_SGP,disable,,any,no-inspection,enable,0x00,0x00,,,,enable,d24e6888-679e-51f0-0d5d-cdb29f5af8a0,,,,,,,disable,,,,16777215,16,,,,2025-08-01 16:25:40,bh-jpij01@ROLL-GROUP.COM,2025-08-01 16:25:40,bh-jpij01@ROLL-GROUP.COM,,,,,,[All Devices/Groups]
accept,,enable,,disable,,disable,disable,,disable,,AZ-SGP-Domain-Controllers,disable,,any,,,,NEW RULES,,,,flow,disable,,,,,,,disable,,,,,,,,,,all,disable,To-AZ-SGP-Domain-Controllers,disable,disable,disable,,131,,,,default,single,,always,Domain Services,disable,VPN_SGP,disable,,any,no-inspection,enable,0x00,0x00,,,,enable,411ff144-201b-51f0-145b-73cdbd2e6c7f,,,,,,,disable,,,,16777215,16,,,,2025-08-01 16:25:40,bh-jpij01@ROLL-GROUP.COM,2025-08-01 16:25:40,bh-jpij01@ROLL-GROUP.COM,,,,,,[All Devices/Groups]
